employee_number,arrive_time,rubbish_1,rubbish_2,rubbish_3,rubbish_4
10,27/04/2022 08:55,1,0,1,0
13,27/04/2022 08:58,1,0,1,0
2,27/04/2022 09:00,1,0,1,0
9,27/04/2022 09:08,1,0,1,0
17,27/04/2022 13:04,1,0,0,0
9,27/04/2022 13:05,1,0,1,0
8,27/04/2022 13:05,1,0,1,0
6,27/04/2022 13:06,1,0,1,0
7,27/04/2022 13:08,1,0,1,0
2,27/04/2022 13:48,1,0,1,0
6,27/04/2022 13:48,1,0,1,0
8,27/04/2022 14:00,1,0,1,0
7,27/04/2022 14:01,1,0,1,0
6,27/04/2022 14:42,1,0,1,0
8,27/04/2022 17:11,1,0,1,0
13,27/04/2022 18:01,1,0,1,0
17,27/04/2022 18:02,1,0,0,0
3,27/04/2022 18:09,1,0,1,0
6,27/04/2022 18:30,1,0,1,0
6,27/04/2022 18:30,1,0,1,0
16,27/04/2022 18:31,1,0,1,0
2,27/04/2022 18:31,1,0,1,0
7,27/04/2022 18:52,1,0,1,0
14,28/04/2022 08:07,1,0,1,0
17,28/04/2022 08:14,1,0,0,0
7,28/04/2022 08:37,1,0,1,0
8,28/04/2022 08:39,1,0,1,0
8,28/04/2022 08:39,1,0,1,0
2,28/04/2022 08:50,1,0,1,0
10,28/04/2022 08:51,1,0,1,0
12,28/04/2022 08:52,1,0,1,0
6,28/04/2022 08:56,1,0,1,0
6,28/04/2022 08:56,1,0,1,0
3,28/04/2022 09:07,1,0,1,0
16,28/04/2022 09:22,1,0,1,0
9,28/04/2022 09:38,1,0,1,0
8,28/04/2022 13:03,1,0,1,0
6,28/04/2022 13:06,1,0,1,0
2,28/04/2022 13:06,1,0,1,0
17,28/04/2022 13:06,1,0,0,0
7,28/04/2022 13:08,1,0,1,0
14,28/04/2022 13:17,1,0,1,0
17,28/04/2022 13:39,1,0,0,0
2,28/04/2022 13:53,1,0,1,0
8,28/04/2022 14:01,1,0,1,0
6,28/04/2022 14:05,1,0,1,0
6,28/04/2022 14:05,1,0,1,0
3,28/04/2022 14:05,1,0,1,0
14,28/04/2022 14:15,1,0,1,0
7,28/04/2022 14:27,1,0,1,0
8,28/04/2022 17:11,1,0,1,0
14,29/04/2022 08:12,1,0,1,0
8,29/04/2022 08:18,1,0,1,0
17,29/04/2022 08:38,1,0,0,0
3,29/04/2022 08:43,1,0,1,0
2,29/04/2022 08:57,1,0,1,0
16,29/04/2022 09:05,1,0,1,0
9,29/04/2022 09:23,1,0,1,0
6,29/04/2022 09:25,1,0,1,0
13,29/04/2022 09:30,1,0,1,0
7,29/04/2022 11:08,1,0,1,0
8,29/04/2022 13:03,1,0,1,0
2,29/04/2022 13:03,1,0,1,0
6,29/04/2022 13:04,1,0,1,0
2,29/04/2022 14:00,1,0,1,0
8,29/04/2022 14:02,1,0,1,0
7,29/04/2022 14:19,1,0,1,0
8,29/04/2022 17:11,1,0,1,0
3,29/04/2022 17:29,1,0,1,0
13,29/04/2022 17:47,1,0,1,0
17,29/04/2022 17:55,1,0,0,0
7,29/04/2022 20:06,1,0,1,0
14,30/04/2022 08:27,1,0,1,0
12,30/04/2022 08:34,1,0,1,0
3,30/04/2022 08:44,1,0,1,0
16,30/04/2022 08:48,1,0,1,0
17,30/04/2022 08:49,1,0,0,0
7,30/04/2022 08:58,1,0,1,0
8,30/04/2022 09:08,1,0,1,0
8,30/04/2022 09:09,1,0,1,0
10,30/04/2022 09:09,1,0,1,0
2,30/04/2022 09:10,1,0,1,0
6,30/04/2022 09:17,1,0,1,0
17,2/05/2022 08:11,1,0,0,0
7,2/05/2022 08:21,1,0,1,0
6,2/05/2022 08:43,1,0,1,0
3,2/05/2022 08:43,1,0,1,0
13,2/05/2022 08:48,1,0,1,0
2,2/05/2022 08:54,1,0,1,0
12,2/05/2022 08:59,1,0,1,0
10,2/05/2022 09:07,1,0,1,0
9,2/05/2022 09:15,1,0,1,0
17,2/05/2022 13:10,1,0,0,0
8,2/05/2022 13:39,1,0,1,0
6,2/05/2022 13:52,1,0,1,0
17,2/05/2022 14:02,1,0,0,0
6,2/05/2022 15:02,1,0,1,0
8,2/05/2022 17:10,1,0,1,0
6,2/05/2022 18:10,1,0,1,0
7,2/05/2022 18:27,1,0,1,0
3,2/05/2022 18:48,1,0,1,0
3,2/05/2022 18:48,1,0,1,0
8,3/05/2022 08:21,1,0,1,0
16,3/05/2022 08:21,1,0,1,0
17,3/05/2022 08:32,1,0,0,0
10,3/05/2022 08:48,1,0,1,0
3,3/05/2022 08:52,1,0,1,0
12,3/05/2022 08:58,1,0,1,0
13,3/05/2022 09:01,1,0,1,0
6,3/05/2022 09:13,1,0,1,0
2,3/05/2022 09:15,1,0,1,0
7,3/05/2022 10:38,1,0,1,0
17,3/05/2022 13:12,1,0,0,0
8,3/05/2022 13:15,1,0,1,0
7,3/05/2022 13:16,1,0,1,0
17,3/05/2022 13:50,1,0,0,0
2,3/05/2022 13:52,1,0,1,0
8,3/05/2022 14:07,1,0,1,0
7,3/05/2022 14:26,1,0,1,0
8,3/05/2022 17:10,1,0,1,0
8,3/05/2022 17:10,1,0,1,0
17,3/05/2022 18:01,1,0,0,0
6,3/05/2022 18:05,1,0,1,0
10,3/05/2022 18:06,1,0,1,0
3,3/05/2022 18:06,1,0,1,0
2,3/05/2022 18:30,1,0,1,0
9,3/05/2022 18:32,1,0,1,0
7,3/05/2022 19:21,1,0,1,0
7,4/05/2022 08:35,1,0,1,0
8,4/05/2022 08:35,1,0,1,0
16,4/05/2022 08:36,1,0,1,0
10,4/05/2022 08:37,1,0,1,0
17,4/05/2022 08:41,1,0,0,0
12,4/05/2022 08:48,1,0,1,0
12,4/05/2022 08:48,1,0,1,0
3,4/05/2022 08:50,1,0,1,0
11,4/05/2022 08:56,1,0,1,0
6,4/05/2022 08:58,1,0,1,0
2,4/05/2022 09:10,1,0,1,0
9,4/05/2022 09:10,1,0,1,0
17,4/05/2022 13:03,1,0,0,0
8,4/05/2022 13:08,1,0,1,0
17,4/05/2022 14:08,1,0,0,0
8,4/05/2022 14:11,1,0,1,0
8,4/05/2022 14:11,1,0,1,0
8,4/05/2022 17:10,1,0,1,0
17,4/05/2022 18:02,1,0,0,0
7,4/05/2022 18:26,1,0,1,0
2,4/05/2022 18:32,1,0,1,0
6,4/05/2022 18:32,1,0,1,0
3,4/05/2022 18:40,1,0,1,0
9,4/05/2022 18:43,1,0,1,0
6,5/05/2022 07:30,1,0,1,0
8,5/05/2022 08:29,1,0,1,0
16,5/05/2022 08:29,1,0,1,0
17,5/05/2022 08:37,1,0,0,0
12,5/05/2022 08:47,1,0,1,0
12,5/05/2022 08:47,1,0,1,0
2,5/05/2022 08:56,1,0,1,0
3,5/05/2022 08:56,1,0,1,0
7,5/05/2022 08:56,1,0,1,0
13,5/05/2022 09:03,1,0,1,0
10,5/05/2022 09:56,1,0,1,0
17,5/05/2022 13:00,1,0,0,0
8,5/05/2022 13:02,1,0,1,0
7,5/05/2022 13:03,1,0,1,0
6,5/05/2022 13:03,1,0,1,0
2,5/05/2022 13:05,1,0,1,0
17,5/05/2022 13:55,1,0,0,0
8,5/05/2022 13:59,1,0,1,0
9,5/05/2022 13:59,1,0,1,0
9,5/05/2022 13:59,1,0,1,0
2,5/05/2022 14:02,1,0,1,0
6,5/05/2022 14:06,1,0,1,0
7,5/05/2022 14:29,1,0,1,0
3,5/05/2022 17:08,1,0,1,0
8,5/05/2022 17:10,1,0,1,0
9,5/05/2022 18:32,1,0,1,0
2,5/05/2022 18:47,1,0,1,0
6,5/05/2022 19:13,1,0,1,0
17,5/05/2022 19:25,1,0,0,0
7,5/05/2022 20:47,1,0,1,0
8,6/05/2022 08:27,1,0,1,0
16,6/05/2022 08:27,1,0,1,0
17,6/05/2022 08:33,1,0,0,0
3,6/05/2022 08:44,1,0,1,0
12,6/05/2022 08:46,1,0,1,0
12,6/05/2022 08:46,1,0,1,0
11,6/05/2022 08:55,1,0,1,0
13,6/05/2022 09:02,1,0,1,0
13,6/05/2022 09:02,1,0,1,0
2,6/05/2022 09:03,1,0,1,0
6,6/05/2022 09:09,1,0,1,0
9,6/05/2022 09:09,1,0,1,0
2,6/05/2022 13:00,1,0,1,0
17,6/05/2022 13:00,1,0,0,0
17,6/05/2022 14:08,1,0,0,0
8,6/05/2022 17:05,1,0,1,0
6,6/05/2022 18:08,1,0,1,0
3,6/05/2022 18:57,1,0,1,0
3,6/05/2022 18:57,1,0,1,0
3,7/05/2022 08:44,1,0,1,0
16,7/05/2022 08:45,1,0,1,0
